Model,MSE,R2,Accuracy (%)
LinearRegression,1.5822227510000707e-22,1.0,100.0
DecisionTree,92136.84088749999,0.9345415753972269,93.45415753972269
RandomForest,78748.30573510933,0.9440534320049918,94.40534320049917
